Device_id,Time,SensorLocation,LatLong,MinimumWindDirection,AverageWindDirection,MaximumWindDirection,MinimumWindSpeed,AverageWindSpeed,GustWindSpeed,AirTemperature,RelativeHumidity,AtmosphericPressure,PM25,PM10,Noise
ICTMicroclimate-09,2024-06-15T01:18:08+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,12.0,359.0,0.0,0.3,1.7,8.8,86.6,1017.9,32.0,39.0,58.3
ICTMicroclimate-03,2024-06-15T01:20:54+10:00,CH1 rooftop,"-37.8140348, 144.96728",179.0,184.0,179.0,0.5,0.4,0.5,9.4,99.0,1013.4,37.0,44.0,69.8
ICTMicroclimate-08,2024-06-15T01:10:10+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,165.0,196.0,0.0,0.6,1.7,7.7,91.4,1019.1,24.0,26.0,64.6
ICTMicroclimate-02,2024-06-15T01:42:25+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",167.0,13.0,202.0,0.2,0.1,0.3,10.0,95.2,1014.3,41.0,51.0,69.5
aws5-0999,2024-06-15T01:44:13+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,0.0,3.0,0.0,0.0,0.2,4.8,99.0,1017.2,,,
ICTMicroclimate-07,2024-06-15T01:36:13+10:00,Tram Stop 7C - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8222341, 144.9829409",0.0,171.0,192.0,0.0,0.3,0.5,7.2,92.4,1021.1,17.0,17.0,57.3
aws5-0999,2024-06-15T01:29:46+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,0.0,0.0,0.0,0.0,0.0,5.2,98.8,1017.1,,,
ICTMicroclimate-06,2024-06-15T01:34:28+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,0.0,341.0,0.0,0.0,0.6,6.9,93.2,1019.3,18.0,23.0,56.4
ICTMicroclimate-08,2024-06-15T01:55:15+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,169.0,314.0,0.0,0.6,2.0,7.5,92.4,1019.3,74.0,92.0,66.8
ICTMicroclimate-02,2024-06-15T01:57:28+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",0.0,356.0,341.0,0.0,0.1,0.5,9.8,96.7,1014.4,46.0,59.0,69.7
